old_file,new_file,confidence,note
di.wav,01.mp3,high,Короткий звуковой сигнал
ding.wav,01.mp3,high,Короткий звуковой сигнал
power_on.wav,10.mp3,high,Включение
power_off.wav,20.mp3,high,Выключение
power_off_rejected.wav,30.mp3,high,Нельзя выключить на док-станции
bl_recovery_start.wav,40.mp3,medium,Запуск восстановления заводских настроек
bl_recovery_bootfailed.wav,40.mp3,medium,Сбой загрузки и восстановление исходной версии
bl_recovery_retry.wav,40.mp3,medium,Повтор восстановления исходной версии
wifi_reset.wav,50.mp3,medium,Сброс Wi-Fi заменяется общим сбросом настроек
timed_clean.wav,110.mp3,high,Уборка по расписанию
start.wav,130.mp3,high,Запуск обычной уборки
spot.wav,140.mp3,medium,Локальный режим заменяет настраиваемый режим
zone.wav,150.mp3,medium,Зональная уборка заменяет настраиваемую уборку
room.wav,150.mp3,medium,Комнатная уборка заменяется настраиваемой уборкой
pause.wav,170.mp3,high,Пауза
stop_clean.wav,170.mp3,high,Остановка уборки
stop_room.wav,170.mp3,high,Остановка уборки комнаты
stop_scheduled_clean.wav,170.mp3,medium,Отмена уборки по расписанию заменяется паузой/остановкой
stop_spot.wav,170.mp3,high,Остановка частичной уборки
resume_room.wav,180.mp3,high,Продолжение уборки комнаты
resume_spot.wav,180.mp3,medium,Продолжение точечной уборки
resume_zone.wav,180.mp3,high,Продолжение зональной уборки
resume_clean.wav,190.mp3,high,Возобновление уборки
power_resume_clean.wav,190.mp3,high,Возобновление уборки после зарядки
finish.wav,201.mp3,high,Уборка завершена
stop.wav,201.mp3,high,Уборка завершена
stop_zone.wav,201.mp3,medium,Завершение зональной уборки
clean_finish.wav,210.mp3,high,Уборка завершена и возврат на станцию
room_complete.wav,210.mp3,high,Уборка комнаты завершена и возврат на станцию
room_partialdone.wav,210.mp3,medium,Уборка комнаты частично завершена и возврат на станцию
zone_complete.wav,210.mp3,high,Зональная уборка завершена и возврат на станцию
zone_partialdone.wav,210.mp3,medium,Уборка зоны частично завершена и возврат на станцию
home.wav,230.mp3,high,Возврат на станцию
resume_backtodock.wav,230.mp3,medium,Продолжение возврата на док-станцию
no_power.wav,250.mp3,high,Низкий заряд и возврат на станцию
no_power_charging.wav,260.mp3,high,Требуется дополнительная зарядка
return_yes.wav,270.mp3,medium,Не найдена станция; требуется переставить робот
error12.wav,290.mp3,high,Низкий заряд аккумулятора
charging.wav,310.mp3,high,Начало зарядки
resume_home.wav,320.mp3,medium,Старое продолжение возврата используется для команды возврата
stop_goto.wav,320.mp3,medium,Остановка движения к цели заменяется остановкой возврата на станцию
error9.wav,350.mp3,high,Установить пылесборник
bin_out.wav,410.mp3,high,Пылесборник извлечён
bin_in.wav,420.mp3,high,Пылесборник установлен
sysupd_start.wav,430.mp3,high,Запуск обновления
sysupd_notready.wav,431.mp3,high,Недостаточный заряд для обновления
sysupd_complete.wav,440.mp3,high,Обновление завершено
sysupd_failed.wav,450.mp3,high,Ошибка обновления
bl_recovery_failed.wav,450.mp3,medium,Ошибка восстановления заменяется ошибкой обновления
bl_recovery_updatefailed.wav,450.mp3,medium,Ошибка обновления и восстановления
sysupd_wip.wav,460.mp3,high,Обновление выполняется
positioning.wav,470.mp3,high,Позиционирование
restart_clean.wav,480.mp3,high,Новое место; начать новую уборку
restart_clean_fromdock.wav,480.mp3,medium,Позиционирование не удалось; начать новую уборку от станции
restart_clean_nodock.wav,480.mp3,medium,Позиционирование не удалось; начать новую уборку
goto_complete.wav,490.mp3,medium,Достижение цели заменяется успешным перемещением
findme.wav,520.mp3,high,Робот здесь
remote.wav,530.mp3,high,Дистанционное управление включено
remote_complete.wav,540.mp3,high,Дистанционное управление выключено
error14.wav,580.mp3,medium,Ошибка аккумулятора заменяется температурной ошибкой аккумулятора
error5.wav,590.mp3,high,Ошибка основной щётки
error6.wav,600.mp3,high,Ошибка боковой щётки
error17.wav,600.mp3,high,Неисправность боковых щёток
error7.wav,610.mp3,high,Ошибка ведущего колеса
error4.wav,630.mp3,high,Очистить датчики падения
error18.wav,640.mp3,high,Ошибка вентилятора
error10.wav,640.mp3,high,Ошибка фильтра
binout_error10.wav,640.mp3,medium,Пылесборник снят и требуется очистить фильтр
error2.wav,650.mp3,high,Ошибка бампера
error13.wav,660.mp3,high,Ошибка зарядки
error19.wav,660.mp3,medium,Док-станция не подключена к электросети
error22.wav,660.mp3,medium,Датчик док-станции заменяется ошибкой зарядки
error1.wav,670.mp3,high,Ошибка лазерного датчика
error21.wav,680.mp3,high,Заклинила крышка лазерного датчика
error15.wav,690.mp3,medium,Старый датчик стены соответствует новому краевому датчику
error8.wav,720.mp3,medium,Робот заблокирован препятствиями
error3.wav,730.mp3,medium,Старое сообщение требует перенести робот
error16.wav,740.mp3,high,Робот стоит неровно
back_dock_failed.wav,750.mp3,medium,Препятствие на пути к станции
back_dock_nearby.wav,750.mp3,medium,Не удалось добраться до станции из-за препятствий
error23.wav,750.mp3,medium,Очистить область передачи сигнала на док-станции
goto_failed.wav,760.mp3,high,Не удалось добраться до целевой зоны
return_no.wav,760.mp3,medium,Не удалось вернуться в исходную точку
room_failed.wav,760.mp3,high,Не удалось попасть в указанную комнату
zone_failed.wav,771.mp3,high,Не удалось очистить целевую зону
error11.wav,780.mp3,high,Виртуальная стена или запретная зона
error24.wav,780.mp3,high,Более новый вариант сообщения о запретной зоне
restart_backtodock_ignore_forbidden_zone.wav,780.mp3,medium,Позиционирование не удалось из-за запретной зоны
restart_clean_ignore_forbidden_zone.wav,780.mp3,medium,Позиционирование не удалось из-за запретной зоны
restart_spot_ignore_forbidden_zone.wav,780.mp3,medium,Позиционирование не удалось из-за запретной зоны
