file,text
01.mp3,Короткая музыка
02.mp3,Длинная музыка
10.mp3,Включение.
20.mp3,Выключение.
30.mp3,Уберите робот пылесос со станцией перед выключением.
40.mp3,в восстановлении заводских настроек.
50.mp3,Настройки системы сброшены.
60.mp3,Ожидание настройки сети.
61.mp3,"Скачайте приложение мехом и подключитесь к нему, чтобы изучить дополнительные функции."
70.mp3,невозможно установить подключение к сети. Проверьте и повторите попытку.
80.mp3,невозможно установить подключение к серверу. Проверьте и повторите попытку.
90.mp3,подключение к сети
100.mp3,Подключение к сети успешно установлено.
110.mp3,Запуск запланированной уборки.
130.mp3,Запуск уборки.
140.mp3,Запуск настраиваемого режима.
150.mp3,Запуск настраиваемой уборки.
151.mp3,Начать задачу по уборке в настраиваемом режиме.
152.mp3,Запуск настраиваемой уборки.
153.mp3,"вернуться на станцию, чтобы автоматически очистить губки перед началом задачи по уборке."
154.mp3,Станция выполняет задачу. Повторите попытку позже.
160.mp3,Начать быстрые создания карты.
170.mp3,приостановлено.
180.mp3,Продолжить уборку.
190.mp3,Уборка возобновляется.
200.mp3,Создание карты возобновлено.
201.mp3,завершить уборку
202.mp3,Создание карты завершено.
210.mp3,Уборка завершена. Возвращение на станцию для зарядки.
220.mp3,Создание карты завершено. Возвращение на станцию для зарядки.
230.mp3,Начать возвращение на станцию для зарядки.
240.mp3,"низкий уровень заряда батареи. Робот-пылесос вернется на станцию для зарядки. Он продолжит выполнять задание, когда будет полностью заряжен."
250.mp3,низкий уровень заряда батареи. Возвращение на станцию для зарядки.
260.mp3,"низкий уровень заряда батареи. Подождите, пока устройство зарядится полностью."
270.mp3,Переместите робот-пылесос обратно на станцию.
280.mp3,Робот пылесос уже на станции.
290.mp3,Низкий уровень заряда батареи. Необходимо зарядить робот пылесос.
300.mp3,Низкий уровень заряда батареи. Робот пылесос скоро выключится.
301.mp3,Для достижения оптимального результата используйте устройство после полной зарядки.
310.mp3,Начало зарядки.
320.mp3,Остановить возвращение на станцию для зарядки.
350.mp3,Установите контейнер для пыли.
370.mp3,Поддон для губки от соединился. Переустановите его перед использованием.
380.mp3,Губка установлена.
390.mp3,Губка удалена.
400.mp3,Задача завершена. Своевременно извлеките и очистите губки.
410.mp3,Контейнер для пыли извлечен.
420.mp3,Контейнер для пыли установлен.
430.mp3,Выполняется обновлении. Не выключайте робот пылесос и не начинайте задачу по уборке.
431.mp3,"не удалось обновить. Переместите робот-пылесос на станцию для зарядки. Повторите попытку, когда уровень заряда будет не меньше 30%."
440.mp3,Успешно обновлено.
450.mp3,Не удалось обновить. Повторите попытку.
460.mp3,Система обновляется. Повторите попытку позже.
470.mp3,Робот пылесос меняет положение. Отойдите от него.
480.mp3,обнаружен новый участок. Робот-пылесос начнет новую задачу по уборке.
490.mp3,Перемещение выполнено успешно. Возобновите уборку.
491.mp3,обнаружен новый участок. Робот-пылесос начнет новую задачу по созданию карты.
492.mp3,Место положение успешно определено. Продолжить создание карты.
500.mp3,"Перемещение успешно завершено, робот-пылесос вернется на станцию для зарядки."
510.mp3,обнаружен новый участок. Робот-пылесос вернется на станцию для зарядки.
520.mp3,Робот-пылесос здесь.
530.mp3,Запустить дистанционное управление.
540.mp3,Выйти из режима дистанционного управления.
550.mp3,"Блокировка от детей включена, все кнопки заблокированы."
560.mp3,"Блокировка от детей отключена, все кнопки разблокированы."
570.mp3,Все кнопки заблокированы. Нажмите и удерживайте кнопку возврата на док-станцию для разблокирования.
580.mp3,"Ошибка из-за температуры аккумулятора. Подождите, пока температура аккумулятора не нормализуется."
590.mp3,ошибка щетки. Проверьте и очистите ее.
600.mp3,Ошибка боковой щетки. Проверьте и очистите ее.
610.mp3,Ошибка ведущего колеса. Проверьте и очистите его.
630.mp3,"Протрите датчики падения и переместите робот-пылесос на другое место, а затем запустите."
640.mp3,Ошибка вентилятора. Проверьте и очистите фильтр контейнера для пыли и воздуха
650.mp3,"ошибка бампера. Проверьте, отскакивает ли бампер надлежащим образом."
660.mp3,Ошибка зарядки. Попробуйте очистить зарядные контакты.
670.mp3,Ошибка лазерного датчика. Проверьте и очистите его.
680.mp3,"Проверьте, не заклинило ли защитную крышку лазерного датчика."
690.mp3,Ошибка дачика по краям. Проверьте и очистите датчик.
700.mp3,Постарайтесь очистить линейный лазерный датчик.
710.mp3,Ошибка поддона для губки. Проверьте и очистите его.
